Attackers,Defenders,AttackerWinPercentage,Outcomes
25,5,99.9936,23 0 14.6685 22 0 14.5689 24 0 12.3322 21 0 12.1461 20 0 10.5476 25 0 9.1271 19 0 7.5959 18 0 6.0643 17 0 4.0199 16 0 3.084 15 0 1.8959 14 0 1.4352 13 0 0.8713 12 0 0.6311 11 0 0.358 10 0 0.2603 9 0 0.141 8 0 0.1013 7 0 0.0541 6 0 0.0381 5 0 0.0231 4 0 0.0139 3 0 0.0067 2 0 0.0046 0 1 0.0027 0 2 0.0026 1 0 0.002 0 3 0.0008 
25,4,99.9976,23 0 17.8763 24 0 16.4981 22 0 14.0145 25 0 13.7976 21 0 12.0143 20 0 8.0168 19 0 6.2737 18 0 3.872 17 0 2.8923 16 0 1.6673 15 0 1.2018 14 0 0.6764 13 0 0.4857 12 0 0.264 11 0 0.1899 10 0 0.0992 9 0 0.0669 8 0 0.0362 7 0 0.0224 6 0 0.0133 5 0 0.008 4 0 0.0046 3 0 0.0022 2 0 0.0013 0 2 0.0012 0 1 0.0009 1 0 0.0003 0 3 0 
25,3,99.9994,25 0 24.5482 24 0 20.7733 23 0 17.5024 22 0 13.2244 21 0 8.4602 20 0 6.0664 19 0 3.5298 18 0 2.4433 17 0 1.3311 16 0 0.9093 15 0 0.4779 14 0 0.3232 13 0 0.1633 12 0 0.1112 11 0 0.0561 10 0 0.0364 9 0 0.0169 8 0 0.0109 7 0 0.0054 6 0 0.0026 5 0 0.0019 4 0 0.0017 3 0 0.0011 0 2 0.0002 0 1 0.0002 2 0 0 
25,2,99.9999,25 0 37.129 24 0 22.1641 23 0 18.4739 22 0 9.0485 21 0 6.2291 20 0 2.9459 19 0 1.9162 18 0 0.8926 17 0 0.5812 16 0 0.2623 15 0 0.1757 14 0 0.0751 13 0 0.0491 12 0 0.0235 11 0 0.0165 10 0 0.005 9 0 0.0048 8 0 0.0027 7 0 0.0013 6 0 0.0006 5 0 0.0004 4 0 0.0001 0 2 0 3 0 0 
25,1,100,25 0 65.9714 24 0 22.4792 23 0 7.6425 22 0 2.5767 21 0 0.8706 20 0 0.3037 19 0 0.1004 18 0 0.0367 17 0 0.0126 16 0 0.0037 15 0 0.0009 14 0 0.0003 12 0 0 
24,25,60.8242,5 0 5.8027 3 0 5.6654 4 0 5.5788 6 0 5.5106 7 0 5.4535 8 0 4.9755 9 0 4.6596 0 3 4.5803 0 2 4.3711 0 5 4.0662 10 0 4.0336 0 4 3.9729 2 0 3.5723 11 0 3.5258 0 6 3.4413 0 7 3.3137 12 0 2.8847 0 8 2.7056 0 9 2.485 0 1 2.3945 13 0 2.3501 0 10 1.9435 14 0 1.7578 1 0 1.7136 0 11 1.6765 15 0 1.2844 0 12 1.2455 0 13 1.0002 16 0 0.8654 0 14 0.695 17 0 0.5419 0 15 0.5097 18 0 0.3345 0 16 0.312 0 17 0.2206 19 0 0.1785 0 18 0.1115 20 0 0.0846 0 19 0.0761 21 0 0.0335 0 20 0.0319 0 21 0.014 22 0 0.0119 0 22 0.0046 23 0 0.0024 0 23 0.0016 24 0 0.0007 0 24 0.0001 
24,24,65.2128,6 0 5.9273 4 0 5.8278 5 0 5.6707 7 0 5.5963 8 0 5.5649 3 0 5.2791 9 0 4.9814 10 0 4.6216 0 2 4.5914 0 4 4.0477 0 3 4.0335 11 0 3.9894 0 5 3.442 12 0 3.4416 2 0 3.3587 0 6 3.3064 13 0 2.7415 0 7 2.6989 0 8 2.5145 0 1 2.3666 14 0 2.1274 0 9 1.9042 0 10 1.6961 1 0 1.6885 15 0 1.6008 0 11 1.1988 16 0 1.1393 0 12 1.0051 17 0 0.7454 0 13 0.6927 0 14 0.5113 18 0 0.4567 0 15 0.3144 19 0 0.2515 0 16 0.2132 20 0 0.1248 0 17 0.1189 0 18 0.0743 21 0 0.0549 0 19 0.0326 22 0 0.0155 0 20 0.0145 23 0 0.0052 0 21 0.0051 0 22 0.002 0 23 0.0007 24 0 0.0001 
24,23,69.8743,7 0 6.0506 5 0 5.987 6 0 5.8082 8 0 5.6721 9 0 5.5435 4 0 5.4403 3 0 5.4246 10 0 4.9912 11 0 4.6051 0 3 4.0474 0 2 4.0251 12 0 3.8821 0 4 3.4587 2 0 3.3522 13 0 3.312 0 5 3.3114 0 6 2.6875 14 0 2.628 0 7 2.4933 0 1 2.2413 15 0 1.9677 0 8 1.9301 0 9 1.7095 1 0 1.5906 16 0 1.4039 0 10 1.2273 0 11 1.0086 17 0 0.9758 0 12 0.6893 18 0 0.6121 0 13 0.5132 19 0 0.3361 0 14 0.3263 0 15 0.2169 20 0 0.1831 0 16 0.1125 21 0 0.0717 0 17 0.0684 0 18 0.0319 22 0 0.0264 0 19 0.0164 0 20 0.0062 23 0 0.006 0 21 0.002 24 0 0.0016 0 22 0.0002 
24,22,74.0413,8 0 6.1773 6 0 6.1381 7 0 5.9898 9 0 5.7579 4 0 5.6467 10 0 5.621 5 0 5.6079 11 0 4.9836 3 0 4.9068 12 0 4.5521 0 2 4.0653 13 0 3.7889 0 3 3.4493 0 4 3.2878 14 0 3.1365 2 0 3.0539 0 5 2.6923 0 6 2.4873 15 0 2.4153 0 1 2.1454 0 7 1.9137 16 0 1.8015 0 8 1.6936 1 0 1.512 17 0 1.2568 0 9 1.2434 0 10 0.9915 18 0 0.7901 0 11 0.6806 0 12 0.523 19 0 0.4845 0 13 0.3258 20 0 0.2464 0 14 0.2126 0 15 0.1175 21 0 0.1117 0 16 0.0713 22 0 0.0439 0 17 0.033 0 18 0.0166 23 0 0.0141 0 19 0.0043 0 20 0.0021 24 0 0.0021 0 21 0.0001 0 22 0 
24,21,78.2485,7 0 6.335 9 0 6.3059 8 0 6.0796 10 0 5.8207 6 0 5.81 5 0 5.7379 11 0 5.7096 4 0 5.0477 12 0 5.0112 3 0 4.8586 13 0 4.4595 14 0 3.6676 0 2 3.4598 0 3 3.3198 15 0 2.9808 2 0 2.9218 0 4 2.6856 0 5 2.4824 16 0 2.2125 0 1 1.9645 0 6 1.9088 0 7 1.6976 17 0 1.603 1 0 1.3691 0 8 1.2395 18 0 1.0747 0 9 1.0067 0 10 0.6815 19 0 0.6287 0 11 0.5061 20 0 0.3607 0 12 0.3294 0 13 0.2216 21 0 0.1617 0 14 0.1206 0 15 0.0697 22 0 0.0675 0 16 0.0335 23 0 0.0189 0 17 0.0147 0 18 0.005 24 0 0.0034 0 19 0.0024 0 20 0.0002 0 21 0 
